"","path","filename","weight","category","source","notes"
"1","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_raptor_nest.tif","bowen_raptor_nest.tif",1,"Bird Nesting Site","Bowen Heron Watch","Raptor Nests"
"2","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_heron_nest.tif","bowen_heron_nest.tif",1,"Bird Nesting Site","Bowen Heron Watch","Heron Nests"
"3","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/el.tif","el.tif",1,"Terrestrial","MVSEI","eelgrass: intertidal & shallow subtidal eelgrass beds."
"4","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bs.tif","bs.tif",1,"Terrestrial","MVSEI","beaches: well- to sparsely-vegetated or non-vegetated beaches and shorelines."
"5","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/mf.tif","mf.tif",1,"Terrestrial","MVSEI","mudflats: non-vegetated mudflats or with varying amounts of algae."
"6","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/vs.tif","vs.tif",1,"Terrestrial","MVSEI","vegetated shoreline: low-lying rocky shoreline, soil pockets in rock cracks and crevices; salt-tolerant vegetation, generally with < 20% vegetation cover."
"7","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/cs.tif","cs.tif",1,"Terrestrial","MVSEI","coastal herbaceous: criteria as for ‘hb’ but influenced by proximity to ocean; windswept shoreline and slopes; > 20% vegetation of grasses, herbs, mosses and lichens."
"8","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/OF.tif","OF.tif",1,"Terrestrial","MVSEI","Old Forest"
"9","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YS.tif","YS.tif",1,"Terrestrial","MVSEI","Young Forest (small)"
"10","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/MF.tif","MF.tif",1,"Terrestrial","MVSEI","Mature Forest"
"11","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YF.tif","YF.tif",1,"Terrestrial","MVSEI","Young Forest"
"12","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Slendersedge_Whitebeak_rush.tif","Slendersedge_Whitebeak_rush.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"13","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cladina_Wallacesselaginella.tif","Cladina_Wallacesselaginella.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"14","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Labradortea_Bog_laurel_Peat_moss.tif","Labradortea_Bog_laurel_Peat_moss.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"15","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Pl_Sphagnum.tif","Pl_Sphagnum.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"16","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Sweetgale_Sitkasedge.tif","Sweetgale_Sitkasedge.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"17","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hardhack(pinkspirea)_Sitkasedge.tif","Hardhack(pinkspirea)_Sitkasedge.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"18","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Fd_Swordfern.tif","Fd_Swordfern.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"19","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage(Ws53_Cw_Swordfern_Skunkcabbage).tif","CwSs_Skunkcabbage(Ws53_Cw_Swordfern_Skunkcabbage).tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"20","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwCw_Deerfern.tif","HwCw_Deerfern.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"21","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdPl_Cladina.tif","FdPl_Cladina.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
